,text_id,text,task_1,task_2,LASER_embeddings_commen,LASER_embeddings_lib
0,hasoc_de_1,Frank Rennicke – Ich bin stolz https://t.co/Cm6TD8w1k1 https://t.co/qynXso07Zn,NOT,NONE,"[-2.4305540e-03  5.1048592e-05  6.3007639e-04 ...  1.2824641e-02
  2.3346990e-02  3.5712712e-02]","[-2.4305540e-03  5.1048592e-05  6.3007639e-04 ...  1.2824641e-02
  2.3346990e-02  3.5712712e-02]"
1,hasoc_de_2,ANSEHEN.....und danach bitte TEILEN...TEILEN....TEILEN.... https://t.co/z18lnbOWRQ,NOT,NONE,[0.01309594 0.00639768 0.00150812 ... 0.00833148 0.01135192 0.03862146],[0.01309594 0.00639768 0.00150812 ... 0.00833148 0.01135192 0.03862146]
2,hasoc_de_3,"#Koeln Mohamed erkennt kein deutsches Recht sondern nur die #Scharia an. Das er den Kölner Dom kaputt machen wollte, war nur ein Scherz aber wenn er aus dem Knast rauskommt, hat er kein Mitleid mehr. https://t.co/xcSixH8JR2",NOT,NONE,"[ 1.0800819e-02 -3.5087560e-05  6.8852226e-03 ...  5.7975281e-02
  3.9990388e-02  7.1375212e-03]","[ 1.0800819e-02 -3.5087560e-05  6.8852226e-03 ...  5.7975281e-02
  3.9990388e-02  7.1375212e-03]"
3,hasoc_de_4,#SaudiArabien ist eine brutale islamische Diktatur und richtete kürzlich fünf Männer wegen ihre Homosexualität hin. Welche Konsequenzen hat das für das Verhältnis zu Saudi-Arabien nach Meinung der Bundesregierung? Die Antwort im Video. https://t.co/ttMeRBeXFE,NOT,NONE,"[ 0.00918543  0.00099304 -0.00233543 ...  0.05845112  0.02258766
  0.04106864]","[ 0.00918543  0.00099304 -0.00233543 ...  0.05845112  0.02258766
  0.04106864]"
4,hasoc_de_5,"Bundespolizei #München hat im 1. Quartal 2019 rund 3.380 illegale Einreisen registriert, die Migranten stammten v. a. aus Nigeria, Afghanistan, Serbien, Albanien und der Türkei - je ein Drittel kam mit PKW bzw. per Bahn, ein Viertel mit dem Bus #Einreise  https://t.co/vNzTXqLomN",NOT,NONE,"[ 0.00085528  0.00012085 -0.0007861  ...  0.05973031  0.00912241
  0.04959871]","[ 0.00085528  0.00012085 -0.0007861  ...  0.05973031  0.00912241
  0.04959871]"
5,hasoc_de_6,"#1EuropaFuerAlle oder wie es die #SPD heute noch bildhafteter formuliert hat:    Und willst Du nicht mein Bruder sein, so schlage ich Dir denn Schädel ein.    #Jusos #NoSPD #Baseballschläger  #NiewiederSozialismus https://t.co/fFL3xlJklo",NOT,NONE,"[ 0.03505968  0.00806131 -0.00120336 ...  0.02014617  0.01977202
  0.0548754 ]","[ 0.03505968  0.00806131 -0.00120336 ...  0.02014617  0.01977202
  0.0548754 ]"
6,hasoc_de_7,"#Hannover: Weil ihm die Freizeitgestaltung und ihr Umgang mit Männern nicht passt, tritt und schlägt Mustafa F. (26) auf seine ehemalige -nach islamischem Recht- Ehefrau Alina (23) ein, rasiert ihr den Schädel kahl - Bruder wegen ähnlicher Tat vor Gericht  https://t.co/KrCJHOEwvx",NOT,NONE,[0.01420126 0.00947296 0.00581765 ... 0.06459121 0.0061306  0.03640407],[0.01420126 0.00947296 0.00581765 ... 0.06459121 0.0061306  0.03640407]
7,hasoc_de_8,"#Deutschland 2019: Ort für die #EU-Wahlparty der #AfD wurde gerade gekündigt. Vermieter und Mieter wurden massiv von #Linksextremisten bedroht. Das Gebäude wurde bereits am letzten Wochenende beschmiert und es wurde damit gedroht, das Gebäude zu beschädigen und Autos anzuzünden.",NOT,NONE,"[ 8.6330622e-03 -1.2013714e-05  1.8280608e-03 ...  4.8487283e-02
  2.7560864e-02  2.9963555e-02]","[ 8.6330622e-03 -1.2013714e-05  1.8280608e-03 ...  4.8487283e-02
  2.7560864e-02  2.9963555e-02]"
8,hasoc_de_9,"#Innsbruck: Tirolerin und Türke knacken 2018 zahlreiche Automaten bei Auto-Waschanlagen und Tankstellen, anhand dort gefundener DNA kommt heraus, dass der Türke auch für Vergewaltigung einer Frau in Innsbruck in der Silvesternacht 2012 verantwortlich ist  https://t.co/pjejeHQ7CN",NOT,NONE,"[ 2.6974485e-03 -4.7765050e-05 -3.8696648e-04 ...  7.0984446e-02
 -8.3372690e-04  2.8101161e-02]","[ 2.6974485e-03 -4.7765050e-05 -3.8696648e-04 ...  7.0984446e-02
 -8.3372690e-04  2.8101161e-02]"
9,hasoc_de_10,"#Wien: Vier Nigerianer bestellen teils hochpreisige Produkte unter falschen Namen, holen sie in Paketshops ab und behalten sie, ohne zu bezahlen - bei einem Afrikaner werden 250 teils originalverpackte Produkte (Handys, Laptops, Bekleidung usw.) gefunden  https://t.co/4AjiMevsjm",NOT,NONE,"[ 1.5805598e-02 -1.3071648e-05 -2.0827861e-03 ...  2.9811772e-02
  9.9630542e-03  3.9782155e-02]","[ 1.5805598e-02 -1.3071648e-05 -2.0827861e-03 ...  2.9811772e-02
  9.9630542e-03  3.9782155e-02]"
10,hasoc_de_11,"#Offenburg: Somalier greift nachts auf der Straße einen Senioren an, tritt derart massiv auf den am Boden liegenden 75-Jährigen ein, dass er mit schweren #Kopfverletzungen ins Krankenhaus gebracht wird   https://t.co/M5ynYt2ZtM",NOT,NONE,"[ 2.3403063e-02 -2.5403959e-05  7.7532637e-03 ...  4.2978916e-02
  1.0247873e-02  3.7725028e-02]","[ 2.3403063e-02 -2.5403959e-05  7.7532637e-03 ...  4.2978916e-02
  1.0247873e-02  3.7725028e-02]"
11,hasoc_de_12,"#Offenburg: Die Attacke des 2015 nach D gekommen Somaliers auf den 75-Jährigen war ein solcher Gewaltexzess, dass das Opfer noch nicht vernehmungsfähig und wohl auf einem Auge erblindet ist - laut einem Zeugen rief der Täter bei der Tat 'Allahu Akbar'  https://t.co/Wbk1gsqcWS",NOT,NONE,"[ 1.8825443e-02 -5.0404640e-05 -2.9108950e-04 ...  5.4348987e-02
  2.6349708e-02  4.0383052e-02]","[ 1.8825443e-02 -5.0404640e-05 -2.9108950e-04 ...  5.4348987e-02
  2.6349708e-02  4.0383052e-02]"
12,hasoc_de_13,"Kapazitäten im ZDF und zur Eurowahl: Den Islam gibt es erst seit dem 7. Jahrhundert, aber Frans Timmermans, der Kommissionspräsident werden will, meint, dass der Islam seit 2000 Jahre zu Europa gehört. Keinen stört's, das Publikum klatscht. #Pappnasen https://t.co/hotI9zS8Tz",NOT,NONE,"[ 6.2171700e-03 -2.8962475e-05  7.0198812e-03 ...  7.6538339e-02
  3.4541026e-02  4.0497418e-02]","[ 6.2171700e-03 -2.8962475e-05  7.0198812e-03 ...  7.6538339e-02
  3.4541026e-02  4.0497418e-02]"
13,hasoc_de_14,mdr Umfrage 'Gehört der Islam zu Deutschland?' 15.000 beteiligten sich und hier zeigt sich der Unterschied zwischen Propaganda und realem Empfinden der Menschen. https://t.co/eOwnM7zW96,NOT,NONE,"[ 8.5632475e-03 -7.6762954e-05  8.9875460e-03 ...  6.3696139e-02
  1.6456712e-02  4.6914537e-02]","[ 8.5632475e-03 -7.6762954e-05  8.9875460e-03 ...  6.3696139e-02
  1.6456712e-02  4.6914537e-02]"
